Date,CRK,XOM,COP,CVX,MRO,HAL,NC,MUR,HP,NR,OXY,APA,RRC,TDW,OII,RES,EOG,TTI,SM,PTEN,TEN,LNG,VLO,DRQ,CNX,DVN,OIS,FTI
2005-02-28,123.27037811279297,33.024234771728516,22.198244094848633,29.71624183654785,9.632979393005371,16.49650764465332,5.0038909912109375,24.899944305419922,11.314017295837402,6.389999866485596,20.15509605407715,47.69099807739258,15.468064308166504,1045.54736328125,8.817721366882324,2.7083756923675537,18.86090087890625,9.178756713867188,23.90361976623535,19.82197380065918,103.92500305175781,36.976951599121094,20.4576358795166,15.5,16.906110763549805,35.287574768066406,12.022856712341309,4.23048210144043
2005-03-01,122.14974212646484,32.393062591552734,21.719810485839844,29.17055892944336,9.52309799194336,16.12213706970215,4.981392860412598,24.24532699584961,11.229244232177734,6.349999904632568,19.87973403930664,46.30304718017578,14.70814323425293,1015.6531372070312,8.55252742767334,2.599416732788086,18.20474624633789,9.008724212646484,23.579458236694336,19.29783821105957,97.7750015258789,37.076351165771484,19.544450759887695,15.350000381469727,16.253318786621094,34.12616729736328,11.954285621643066,4.161892890930176
2005-03-02,122.19458770751953,32.69559860229492,21.919986724853516,29.47211456298828,9.543449401855469,16.457006454467773,5.011991500854492,24.3996639251709,11.226419448852539,6.260000228881836,20.347261428833008,47.00839614868164,14.99617862701416,1027.5601806640625,8.598937034606934,2.5475337505340576,18.620786666870117,9.02924633026123,23.612340927124023,19.289901733398438,96.57499694824219,37.150901794433594,20.035505294799805,17.5,16.544675827026367,35.114131927490234,12.177143096923828,4.1631178855896
2005-03-03,126.0943832397461,32.88859939575195,22.14019203186035,29.29022216796875,9.767278671264648,16.58492660522461,4.9881415367126465,24.82527732849121,11.593753814697266,6.460000038146973,20.94098472595215,48.161231994628906,15.143260955810547,1063.281494140625,8.740373611450195,2.665830135345459,18.993375778198242,9.263771057128906,24.406314849853516,20.02051544189453,98.69999694824219,37.35467529296875,20.776382446289062,18.260000228881836,16.706951141357422,36.08700180053711,12.617142677307129,4.264776229858398
2005-03-04,127.84260559082031,33.15985870361328,22.462495803833008,29.539127349853516,9.921930313110352,16.855810165405273,5.16003942489624,25.221033096313477,11.613533973693848,6.599999904632568,21.12455177307129,49.82221221923828,15.290336608886719,1081.2689208984375,8.959159851074219,2.7270543575286865,19.370088577270508,9.524681091308594,25.111019134521484,20.60818099975586,99.9749984741211,38.06041717529297,21.210002899169922,18.635000228881836,17.14952278137207,36.547054290771484,12.634285926818848,4.393380641937256
2005-03-07,126.76679229736328,32.862518310546875,22.38041114807129,29.3907413482666,9.913790702819824,16.468292236328125,5.118641376495361,25.360408782958984,11.508984565734863,6.389999866485596,20.90369987487793,48.89692306518555,15.106484413146973,1068.855224609375,8.850869178771973,2.6564908027648926,19.121707916259766,9.398625373840332,24.523761749267578,20.5922908782959,99.92500305175781,38.89040756225586,20.905620574951172,18.489999771118164,17.175338745117188,36.57721710205078,12.514286041259766,4.273349761962891
2005-03-08,126.72195434570312,32.91469192504883,21.94200897216797,29.438615798950195,9.852743148803711,16.336597442626953,5.040339946746826,26.059812545776367,11.393129348754883,6.389999866485596,21.11685562133789,48.80590057373047,14.812328338623047,1051.3746337890625,8.921588897705078,2.682433605194092,19.481870651245117,9.383967399597168,24.420413970947266,20.171401977539062,96.9749984741211,38.264183044433594,21.077909469604492,17.950000762939453,17.042560577392578,36.569664001464844,12.577142715454102,4.3235673904418945
2005-03-09,125.10824584960938,31.709712982177734,21.33946418762207,28.605709075927734,9.521066665649414,15.85123348236084,5.00164270401001,24.984560012817383,10.98623275756836,6.130000114440918,20.45145034790039,47.66822814941406,14.52428913116455,1014.3863525390625,8.6409273147583,2.5952672958374023,19.299713134765625,9.354650497436523,23.93651580810547,19.893447875976562,96.57499694824219,37.64789962768555,20.779253005981445,17.3799991607666,16.83234405517578,36.019126892089844,12.268570899963379,4.1839399337768555
2005-03-10,120.17741394042969,31.490646362304688,21.131267547607422,27.997793197631836,9.299262046813965,15.429847717285156,4.982293128967285,24.611228942871094,10.67823600769043,5.929999828338623,20.310314178466797,46.09067153930664,14.076921463012695,993.3588256835938,8.358051300048828,2.5018744468688965,18.57111358642578,8.753678321838379,23.311670303344727,19.40901756286621,93.75,34.85972213745117,19.81151008605957,16.7450008392334,16.091045379638672,34.76719665527344,11.782856941223145,4.08228063583374
2005-03-11,121.29806518554688,31.845355987548828,21.13726806640625,27.906841278076172,9.346063613891602,15.192811012268066,4.981392860412598,24.77549171447754,10.760181427001953,6.130000114440918,20.537874221801758,46.644344329833984,14.48787784576416,996.9058227539062,8.453080177307129,2.4733381271362305,18.7863826751709,8.78299331665039,23.884828567504883,19.750497817993164,96.125,35.12810134887695,19.794282913208008,16.7450008392334,16.784395217895508,35.239322662353516,11.942856788635254,4.15944242477417
